Model		                MSE		                    R-squared
linear_regression_model		0.004348979052454412		-0.031321291374053706
ridge_model         		0.004346731168177563		-0.030788225822967474
decision_tree_model 		0.004970155116657179		-0.17862761154193296
random_forest_model 		0.004952334227397228		-0.1744015478374794
linear_regression_model		0.004348979052454412		-0.031321291374053706
ridge_model         		0.004346731168177563		-0.030788225822967474
decision_tree_model 		0.004970155116657179		-0.17862761154193296
random_forest_model 		0.004888161277526201		-0.15918350959585603
